index,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,FLAG_MOBIL,work_phone,phone,email,occyp_type,family_size,credit,Decile
7157,M,Y,Y,2,337500,State servant,Secondary / secondary special,Married,Office apartment,1,0,0,0,Laborers,4,2,9
7158,F,N,N,0,225000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,2,9
7159,M,Y,N,0,256500,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Laborers,2,2,9
7160,F,N,Y,0,216000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Private service staff,2,2,9
7161,F,N,N,0,67500,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,unemployed,2,1,5
7162,M,Y,Y,1,270000,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Laborers,3,2,9
7163,F,Y,N,0,135000,Commercial associate,Higher education,Married,House / apartment,1,1,1,1,High skill tech staff,2,2,8
7164,F,N,N,0,112500,Working,Secondary / secondary special,Married,Rented apartment,1,1,0,0,unemployed,2,0,7
7165,F,N,N,0,81000,Working,Secondary / secondary special,Civil marriage,With parents,1,0,1,0,Sales staff,2,2,6
7166,F,Y,Y,0,202500,Working,Higher education,Widow,House / apartment,1,0,0,0,Managers,1,2,9
7167,M,N,N,1,189000,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Drivers,3,2,9
7168,M,N,N,1,157500,Working,Higher education,Married,House / apartment,1,0,1,0,unemployed,3,2,8
7169,F,N,Y,2,337500,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Sales staff,3,2,9
7170,M,N,Y,0,83250,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,2,6
7171,F,N,Y,2,216000,State servant,Higher education,Married,House / apartment,1,0,0,1,unemployed,4,2,9
7172,F,N,Y,0,144000,State servant,Higher education,Married,House / apartment,1,0,0,0,unemployed,2,2,8
7173,F,N,Y,0,90000,Pensioner,Lower secondary,Single / not married,House / apartment,1,0,0,0,unemployed,1,0,7
7174,M,Y,Y,0,180000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Laborers,1,2,9
7175,F,N,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2,2,8
7176,F,Y,N,0,144000,Working,Secondary / secondary special,Widow,House / apartment,1,0,0,0,HR staff,1,2,8
7177,M,Y,N,1,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,3,1,9
7178,F,N,Y,0,202500,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,unemployed,1,2,9
7179,F,N,N,0,225000,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,unemployed,2,2,9
7180,F,N,Y,1,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,3,1,8
7181,F,N,N,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Medicine staff,2,2,8
7182,F,N,Y,2,202500,Working,Higher education,Married,House / apartment,1,0,1,0,High skill tech staff,4,1,9
7183,M,Y,N,0,225000,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,unemployed,2,2,9
7184,M,N,Y,0,171000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,2,1,8
7185,F,N,Y,0,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2,2,9
7186,F,N,Y,0,382500,Working,Secondary / secondary special,Widow,House / apartment,1,1,0,0,Private service staff,1,2,9
7187,M,Y,N,0,112500,Commercial associate,Incomplete higher,Married,House / apartment,1,0,1,0,Laborers,2,1,7
7188,F,N,Y,0,189000,State servant,Secondary / secondary special,Separated,House / apartment,1,0,0,0,Medicine staff,1,1,9
7189,F,Y,Y,0,202500,Working,Higher education,Married,House / apartment,1,0,0,1,Sales staff,2,2,9
7190,F,N,Y,2,54000,Pensioner,Higher education,Married,House / apartment,1,0,0,0,unemployed,4,2,4
7191,M,Y,Y,0,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Cooking staff,2,2,9
7192,M,Y,Y,1,157500,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,3,1,8
7193,F,N,Y,0,112500,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,1,Medicine staff,2,2,7
7194,F,N,N,0,90000,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,1,0,Core staff,1,1,7
7195,F,Y,Y,4,112500,Working,Higher education,Married,House / apartment,1,0,0,0,Core staff,6,2,7
7196,F,N,Y,0,157500,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Laborers,1,2,8
7197,M,Y,N,0,153000,Working,Secondary / secondary special,Single / not married,With parents,1,0,0,0,Laborers,1,2,8
7198,F,N,Y,0,144000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,2,8
7199,F,N,Y,0,202500,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,1,0,Core staff,1,1,9
7200,F,N,N,0,112500,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Accountants,2,2,7
7201,F,N,Y,0,450000,State servant,Higher education,Single / not married,House / apartment,1,0,1,1,Core staff,1,2,9
7202,M,Y,N,0,292500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,2,9
7203,F,N,N,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,2,2,8
7204,M,N,N,0,157500,Commercial associate,Incomplete higher,Single / not married,House / apartment,1,0,1,0,unemployed,1,2,8
7205,F,N,N,1,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,2,8
7206,F,N,N,1,157500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,1,Private service staff,3,2,8
7207,M,Y,Y,2,180000,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,4,2,9
7208,F,Y,Y,0,112500,Working,Higher education,Married,House / apartment,1,0,1,0,Core staff,2,2,7
7209,M,Y,Y,0,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Sales staff,2,1,9
7210,M,Y,Y,0,225000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Laborers,1,2,9
7211,F,N,Y,0,112500,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,1,Medicine staff,2,2,7
7212,F,N,Y,1,315000,Commercial associate,Secondary / secondary special,Separated,Municipal apartment,1,0,1,0,Cleaning staff,2,2,9
7213,F,N,N,0,108000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,High skill tech staff,2,2,7
7214,M,Y,Y,1,202500,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,unemployed,3,2,9
7215,M,Y,Y,2,157500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,4,2,8
7216,F,Y,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,2,7
7217,M,Y,N,0,225000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,2,9
7218,M,Y,N,0,112500,Commercial associate,Higher education,Married,House / apartment,1,1,0,0,unemployed,2,1,7
7219,F,Y,Y,1,144000,Working,Higher education,Married,House / apartment,1,0,0,0,Accountants,3,1,8
7220,M,Y,Y,0,202500,Working,Secondary / secondary special,Married,Municipal apartment,1,0,1,0,Sales staff,2,2,9
7221,F,Y,N,1,90000,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Sales staff,3,1,7
7222,M,Y,Y,0,360000,Commercial associate,Incomplete higher,Married,House / apartment,1,0,0,0,Managers,2,2,9
7223,F,Y,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Private service staff,2,2,9
7224,F,N,N,1,139050,Pensioner,Secondary / secondary special,Married,Municipal apartment,1,0,0,0,unemployed,3,2,8
7225,M,Y,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Drivers,2,2,7
7226,M,Y,Y,0,225000,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,1,Managers,1,0,9
7227,M,N,Y,0,153000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,2,8
7228,F,Y,Y,0,202500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,2,9
7229,M,Y,Y,1,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,2,8
7230,M,Y,Y,0,135000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,0,1,Sales staff,1,0,8
7231,M,N,Y,1,112500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,2,7
7232,F,N,Y,1,90000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,1,1,0,Sales staff,2,1,7
7233,F,Y,Y,0,112500,Pensioner,Higher education,Married,House / apartment,1,0,0,0,unemployed,2,2,7
7234,F,N,Y,1,405000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,3,2,9
7235,M,Y,Y,0,90000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,unemployed,2,2,7
7236,F,N,N,1,112500,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,unemployed,3,2,7
7237,F,N,N,0,148500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Sales staff,2,2,8
7238,F,N,Y,0,360000,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Cooking staff,2,1,9
7239,M,Y,Y,1,225000,Working,Higher education,Married,House / apartment,1,0,0,0,Managers,3,2,9
7240,F,N,Y,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,2,8
7241,F,N,Y,0,90000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,2,7
7242,M,N,Y,0,202500,Commercial associate,Secondary / secondary special,Separated,House / apartment,1,0,0,0,Cleaning staff,1,2,9
7243,F,N,N,1,135000,Working,Higher education,Married,With parents,1,0,0,0,Secretaries,3,1,8
7244,F,N,N,0,67500,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Sales staff,2,2,5
7245,M,N,N,0,225000,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,2,1,9
7246,F,N,Y,0,112500,Pensioner,Higher education,Single / not married,House / apartment,1,0,0,0,unemployed,1,2,7
7247,F,N,Y,1,135000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Laborers,2,2,8
7248,F,Y,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Private service staff,2,2,9
7249,F,Y,N,0,225000,Working,Secondary / secondary special,Married,Municipal apartment,1,0,0,0,Laborers,2,0,9
7250,F,N,Y,0,270000,Working,Higher education,Widow,House / apartment,1,0,0,1,Managers,1,2,9
7251,M,Y,Y,1,310500,Working,Higher education,Married,House / apartment,1,0,0,1,IT staff,3,0,9
7252,F,N,Y,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,2,7
7253,F,Y,Y,0,225000,Commercial associate,Higher education,Single / not married,House / apartment,1,1,0,0,Core staff,1,2,9
7254,F,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,2,1,8
7255,M,N,Y,0,46948.5,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,unemployed,1,1,3
7256,F,N,N,0,202500,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Cleaning staff,2,2,9
7257,F,N,Y,0,67500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,2,5
7258,M,N,Y,0,180000,Commercial associate,Secondary / secondary special,Separated,House / apartment,1,0,0,0,Laborers,1,2,9
7259,F,Y,Y,2,216000,Working,Higher education,Married,House / apartment,1,0,0,0,Core staff,4,2,9
7260,M,N,Y,0,252000,Working,Higher education,Married,House / apartment,1,1,1,0,Core staff,2,2,9
7261,F,N,N,0,117000,Commercial associate,Secondary / secondary special,Single / not married,With parents,1,0,0,0,Sales staff,1,2,7
7262,F,N,Y,0,103500,Working,Incomplete higher,Married,House / apartment,1,0,0,0,Laborers,2,1,7
7263,F,N,N,0,103500,State servant,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Core staff,2,2,7
7264,F,N,Y,1,157500,Working,Secondary / secondary special,Separated,Municipal apartment,1,0,0,0,Sales staff,2,2,8
7265,M,Y,Y,0,225000,Working,Secondary / secondary special,Separated,House / apartment,1,0,1,0,unemployed,1,2,9
7266,M,Y,N,1,315000,State servant,Higher education,Married,Municipal apartment,1,0,0,0,Core staff,3,1,9
7267,F,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,1,1,Sales staff,2,2,8
7268,F,N,Y,0,360000,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,0,Accountants,2,2,9
7269,M,N,Y,0,292500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,1,Drivers,2,2,9
7270,F,N,N,1,225000,Working,Incomplete higher,Married,With parents,1,0,0,0,Accountants,3,2,9
7271,F,Y,Y,1,202500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,1,9
7272,F,Y,Y,1,207000,Working,Higher education,Married,House / apartment,1,0,1,1,Accountants,3,2,9
7273,M,N,N,0,157500,Commercial associate,Higher education,Single / not married,House / apartment,1,0,0,0,Sales staff,1,1,8
7274,F,N,Y,3,157500,Working,Higher education,Married,House / apartment,1,0,0,0,Accountants,5,1,8
7275,M,Y,N,1,247500,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Drivers,3,1,9
7276,M,Y,N,2,450000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,1,Drivers,4,2,9
7277,F,N,Y,0,202500,Pensioner,Secondary / secondary special,Separated,House / apartment,1,0,0,0,unemployed,1,0,9
7278,F,N,Y,0,270000,State servant,Higher education,Married,House / apartment,1,1,1,0,Managers,2,0,9
7279,F,N,Y,0,135000,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,unemployed,1,2,8
7280,M,Y,Y,0,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Security staff,2,2,9
7281,F,Y,Y,0,315000,Working,Higher education,Married,House / apartment,1,0,0,1,unemployed,2,1,9
7282,F,N,N,0,157500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,2,8
7283,F,N,Y,0,207000,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Cooking staff,1,0,9
7284,F,Y,Y,0,90000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,1,0,Sales staff,2,2,7
7285,M,Y,Y,1,139500,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Laborers,3,2,8
7286,F,N,Y,0,81000,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,unemployed,2,2,6
7287,F,N,N,2,193500,Working,Higher education,Married,With parents,1,1,1,0,unemployed,4,1,9
7288,F,N,N,0,144000,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,2,2,8
7289,F,N,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,1,7
7290,F,Y,N,0,405000,State servant,Higher education,Single / not married,House / apartment,1,0,1,0,Managers,1,1,9
7291,M,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,2,8
7292,F,Y,Y,0,247500,Working,Secondary / secondary special,Single / not married,With parents,1,0,0,0,Sales staff,1,2,9
7293,F,N,Y,0,112500,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Sales staff,1,1,7
7294,F,Y,N,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Managers,2,2,8
7295,M,Y,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,2,1,9
7296,M,N,Y,2,166500,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,unemployed,4,1,8
7297,M,Y,Y,2,225000,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,4,2,9
7298,F,N,N,2,225000,Working,Secondary / secondary special,Single / not married,Municipal apartment,1,1,1,0,Sales staff,3,2,9
7299,F,N,Y,0,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,2,2,8
7300,F,N,Y,0,202500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,1,9
7301,F,Y,Y,1,157500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,2,8
7302,F,N,Y,1,108000,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Sales staff,3,1,7
7303,F,N,Y,0,148500,Working,Higher education,Married,House / apartment,1,0,0,0,Core staff,2,2,8
7304,M,N,Y,0,112500,Commercial associate,Higher education,Married,House / apartment,1,1,0,1,Managers,2,1,7
7305,F,N,Y,2,126000,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Sales staff,4,2,8
7306,M,Y,Y,1,225000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,2,9
7307,F,N,Y,1,180000,Pensioner,Higher education,Married,House / apartment,1,0,1,0,unemployed,3,2,9
7308,M,Y,Y,3,450000,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,1,Managers,5,2,9
7309,M,Y,Y,0,301500,Working,Secondary / secondary special,Married,Rented apartment,1,0,0,0,Laborers,2,2,9
7310,F,N,Y,0,139500,Pensioner,Secondary / secondary special,Married,Rented apartment,1,0,0,0,unemployed,2,1,8
7311,M,N,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,1,9
7312,F,N,Y,0,225000,Working,Higher education,Widow,House / apartment,1,1,0,0,Sales staff,1,2,9
7313,M,Y,N,0,540000,Commercial associate,Incomplete higher,Married,House / apartment,1,1,1,0,Managers,2,2,9
7314,F,N,Y,2,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Cooking staff,4,1,7
7315,M,N,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,1,Laborers,2,1,9
7316,F,Y,Y,0,315000,State servant,Higher education,Married,House / apartment,1,0,0,1,Drivers,2,2,9
7317,F,N,Y,0,225000,Pensioner,Secondary / secondary special,Separated,House / apartment,1,0,1,0,unemployed,1,2,9
7318,F,N,N,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,unemployed,2,2,8
7319,F,N,N,0,171000,State servant,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Laborers,1,2,8
7320,M,Y,N,1,202500,Working,Incomplete higher,Married,House / apartment,1,1,0,0,Drivers,3,1,9
7321,F,N,N,1,157500,Working,Secondary / secondary special,Civil marriage,With parents,1,0,0,0,Sales staff,3,2,8
7322,M,Y,N,0,360000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,1,0,Drivers,1,2,9
7323,F,N,Y,0,135000,State servant,Higher education,Single / not married,Municipal apartment,1,0,0,0,Core staff,1,2,8
7324,M,Y,N,1,315000,State servant,Higher education,Married,Municipal apartment,1,0,0,0,Core staff,3,2,9
7325,F,Y,Y,1,108000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,3,0,7
7326,M,Y,Y,0,405000,Working,Higher education,Married,House / apartment,1,1,1,1,Managers,2,1,9
7327,F,N,N,0,85500,Pensioner,Secondary / secondary special,Separated,House / apartment,1,0,1,0,unemployed,1,2,6
7328,F,N,Y,3,67500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,1,0,Sales staff,5,2,5
7329,M,N,N,0,67500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,1,1,0,Drivers,2,1,5
7330,F,N,Y,1,157500,Working,Incomplete higher,Married,House / apartment,1,1,0,0,Core staff,3,2,8
7331,M,N,N,0,157500,Working,Secondary / secondary special,Single / not married,Rented apartment,1,1,0,0,Laborers,1,2,8
7332,F,N,Y,1,72000,Working,Secondary / secondary special,Civil marriage,Municipal apartment,1,1,0,0,Cleaning staff,3,2,5
7333,F,N,Y,0,216000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Medicine staff,2,1,9
7334,M,Y,Y,1,270000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,3,2,9
7335,F,N,Y,0,126000,State servant,Incomplete higher,Married,House / apartment,1,0,0,0,unemployed,2,1,8
7336,F,N,Y,0,270000,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Private service staff,2,1,9
7337,M,Y,Y,1,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,3,2,8
7338,M,N,N,0,157500,Working,Lower secondary,Married,House / apartment,1,1,0,0,Drivers,2,0,8
7339,F,N,Y,0,67500,Pensioner,Secondary / secondary special,Separated,House / apartment,1,0,0,0,unemployed,1,1,5
7340,M,N,Y,0,202500,Working,Higher education,Single / not married,House / apartment,1,0,0,0,unemployed,1,0,9
7341,M,Y,Y,1,216000,Working,Secondary / secondary special,Married,Rented apartment,1,0,0,0,Laborers,3,0,9
7342,F,N,N,0,135000,Pensioner,Higher education,Married,Municipal apartment,1,0,0,0,unemployed,2,1,8
7343,F,N,N,0,157500,Commercial associate,Higher education,Separated,With parents,1,0,0,0,unemployed,1,1,8
7344,F,Y,Y,1,112500,Working,Secondary / secondary special,Widow,House / apartment,1,0,0,0,Laborers,2,1,7
7345,F,N,Y,0,211500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,2,2,9
7346,M,N,Y,1,112500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,2,7
7347,F,N,Y,0,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Realty agents,2,1,9
7348,F,N,N,1,99000,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,3,2,7
7349,F,Y,Y,0,157500,State servant,Higher education,Married,House / apartment,1,0,0,0,unemployed,2,2,8
7350,F,Y,N,0,225000,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Sales staff,2,2,9
7351,M,Y,Y,1,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,3,2,9
7352,M,Y,Y,0,184500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,2,2,9
7353,F,Y,Y,0,135000,Pensioner,Higher education,Married,House / apartment,1,0,0,0,unemployed,2,2,8
7354,M,Y,Y,1,315000,Working,Higher education,Separated,House / apartment,1,0,0,0,Managers,2,2,9
7355,F,N,Y,0,76500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,unemployed,2,2,6
7356,M,N,Y,2,270000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,1,Laborers,4,2,9
7357,F,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,2,1,8
7358,M,Y,N,1,225000,Commercial associate,Higher education,Married,With parents,1,1,0,0,High skill tech staff,3,1,9
7359,F,Y,Y,1,112500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,3,2,7
7360,M,Y,Y,0,63000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,1,5
7361,F,Y,N,0,315000,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,unemployed,2,2,9
7362,M,N,N,1,270000,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Managers,3,2,9
7363,F,N,N,0,76500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,unemployed,2,2,6
7364,F,N,Y,0,117000,Pensioner,Higher education,Married,House / apartment,1,0,0,0,unemployed,2,2,7
7365,F,Y,N,2,180000,Working,Higher education,Married,House / apartment,1,0,0,0,Managers,4,2,9
7366,F,N,Y,1,315000,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Core staff,3,1,9
7367,F,N,Y,0,49500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,unemployed,2,2,3
7368,F,N,N,1,135000,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Laborers,3,1,8
7369,F,Y,N,0,405000,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Drivers,2,2,9
7370,F,N,Y,0,216000,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,0,0,unemployed,1,2,9
7371,M,Y,Y,1,180000,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,unemployed,3,2,9
7372,M,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,2,1,9
7373,F,Y,Y,1,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,2,9
7374,M,Y,N,0,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,1,Drivers,2,2,9
7375,F,Y,Y,0,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,2,0,8
7376,M,Y,Y,0,110250,Working,Higher education,Single / not married,House / apartment,1,0,0,0,unemployed,1,2,7
7377,F,N,N,0,67500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,2,1,5
7378,F,N,Y,0,157500,Working,Incomplete higher,Married,House / apartment,1,0,1,1,Core staff,2,2,8
7379,F,N,Y,2,58500,Working,Higher education,Married,House / apartment,1,0,0,0,Core staff,4,2,5
7380,F,N,N,1,90000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,3,2,7
7381,M,N,N,1,90000,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,unemployed,3,2,7
7382,M,N,Y,0,180000,Working,Secondary / secondary special,Separated,House / apartment,1,0,0,0,Drivers,1,2,9
7383,F,N,N,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,High skill tech staff,2,2,8
7384,F,N,N,1,112500,Working,Secondary / secondary special,Married,With parents,1,0,1,1,Core staff,3,0,7
7385,F,N,Y,2,90000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Low-skill Laborers,4,2,7
7386,F,Y,Y,1,157500,Working,Higher education,Married,With parents,1,0,0,1,High skill tech staff,3,2,8
7387,F,N,Y,0,90000,State servant,Higher education,Married,House / apartment,1,1,1,0,Core staff,2,0,7
7388,F,N,N,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Private service staff,2,1,8
7389,M,Y,Y,0,270000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,2,9
7390,F,Y,Y,2,157500,Commercial associate,Higher education,Married,House / apartment,1,0,1,0,Medicine staff,4,2,8
7391,F,N,Y,0,189000,State servant,Secondary / secondary special,Separated,House / apartment,1,0,0,0,Medicine staff,1,1,9
7392,M,Y,Y,0,135000,Working,Secondary / secondary special,Married,With parents,1,0,0,0,Core staff,2,0,8
7393,M,N,N,0,157500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,1,8
7394,M,Y,Y,1,135000,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,Managers,3,2,8
7395,F,N,N,0,405000,Working,Higher education,Married,House / apartment,1,1,1,0,unemployed,2,2,9
7396,M,N,Y,0,270000,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Core staff,1,2,9
7397,F,N,N,0,157500,Working,Higher education,Married,House / apartment,1,0,0,0,Core staff,2,2,8
7398,F,Y,N,2,162000,Commercial associate,Incomplete higher,Married,House / apartment,1,1,1,0,Core staff,4,2,8
7399,M,N,Y,1,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,1,8
